County,Populations
Buena Vista County,20567
Butler County,15021
Calhoun County,9926
Carroll County,20598
Cass County,13598
Cedar County,18393
Cerro Gordo County,43575
Cherokee County,11945
Chickasaw County,12321
Clarke County,9325
Clay County,16491
Clayton County,17773
Clinton County,48420
Crawford County,17434
Dallas County,74641
Davis County,8791
Decatur County,8136
Delaware County,17534
Des Moines County,40480
Dickinson County,16955
Dubuque County,95697
Emmet County,9996
Fayette County,20502
Floyd County,16092
Franklin County,10548
Fremont County,7080
Greene County,9139
Grundy County,12314
Guthrie County,10687
Hamilton County,15312
Hancock County,11094
Hardin County,17441
Harrison County,14431
Henry County,20222
Howard County,9526
Humboldt County,9688
Ida County,7141
Iowa County,16330
Jackson County,19587
Jasper County,36641
Jefferson County,16810
Johnson County,139155
Jones County,20611
Keokuk County,10329
Kossuth County,15321
Lee County,35682
Linn County,216111
Louisa County,11282
Lucas County,8746
Lyon County,11712
Madison County,15448
Mahaska County,22417
Marion County,33252
Marshall County,40994
Mills County,14896
Mitchell County,10709
Monona County,9121
Monroe County,8012
Montgomery County,10424
Muscatine County,42836
O'Brien County,14044
Osceola County,6211
Page County,15713
Palo Alto County,9185
Plymouth County,24957
Pocahontas County,7154
Polk County,451677
Pottawattamie County,92728
Poweshiek County,18601
Ringgold County,5072
Sac County,10071
Scott County,170385
Shelby County,11961
Sioux County,34547
Story County,92406
Tama County,17576
Taylor County,6161
Union County,12583
Van Buren County,7436
Wapello County,35391
Warren County,47336
Washington County,22015
Wayne County,6402
Webster County,37044
Winnebago County,10554
Winneshiek County,20994
Woodbury County,102130
Worth County,7541
Wright County,12972
Allen County,13124
Anderson County,7897
Atchison County,16749
Barber County,4947
Barton County,27509
Bourbon County,14852
Brown County,9997
Butler County,65803
Chase County,2700
Chautauqua County,3552
Cherokee County,20978
Cheyenne County,2694
Clark County,2193
Clay County,8406
Cloud County,9292
Coffey County,8412
Comanche County,1955
Cowley County,36204
Crawford County,39278
Decatur County,2930
Dickinson County,19609
Doniphan County,7851
Douglas County,114322
Edwards County,2945
Elk County,2655
Ellis County,29061
Ellsworth County,6398
Finney County,37098
Ford County,34819
Franklin County,25740
Geary County,37384
Gove County,2769
Graham County,2593
Grant County,7950
Gray County,6009
Greeley County,1290
Greenwood County,6424
Hamilton County,2609
Harper County,5860
Harvey County,34741
Haskell County,4141
Hodgeman County,1950
Jackson County,13366
Jefferson County,18813
Jewell County,3046
Johnson County,566933
Kearny County,3923
Kingman County,7844
Kiowa County,2523
Labette County,20916
Lane County,1720
Leavenworth County,78185
Lincoln County,3147
Linn County,9516
Logan County,2798
Lyon County,33510
McPherson County,29569
Marion County,12219
Marshall County,10002
Meade County,4343
Miami County,32835
Mitchell County,6378
Montgomery County,34292
Morris County,5741
Morton County,3143
Nemaha County,10161
Neosho County,16430
Ness County,3073
Norton County,5622
Osage County,16142
Osborne County,3818
Ottawa County,6042
Pawnee County,6971
Phillips County,5540
Pottawatomie County,22691
Pratt County,9878
Rawlins County,2589
Reno County,64190
Republic County,4820
Rice County,10011
Riley County,75394
Rooks County,5190
Rush County,3186
Russell County,6933
Saline County,55740
Scott County,5035
Sedgwick County,505415
Seward County,23390
Shawnee County,178831
Sheridan County,2553
Sherman County,6115
Smith County,3706
Stafford County,4359
Stanton County,2194
Stevens County,5816
Sumner County,23591
Thomas County,7948
Trego County,2980
Wabaunsee County,7051
Wallace County,1569
Washington County,5629
Wichita County,2192
Wilson County,9105
Woodson County,3221
Wyandotte County,160384
Adair County,18732
Allen County,20311
Anderson County,21811
Ballard County,8332
Barren County,43027
Bath County,11961
Bell County,27885
Boone County,124442
Bourbon County,19998
Boyd County,48886
Boyle County,29013
Bracken County,8416
Breathitt County,13545
Breckinridge County,20040
Bullitt County,76854
Butler County,12793
Caldwell County,12823
Calloway County,37657
Campbell County,90988
Carlisle County,5001
Carroll County,10953
Carter County,27202
Casey County,16067
Christian County,74167
Clark County,35614
Clay County,21364
Clinton County,10146
Crittenden County,9255
Cumberland County,6789
Daviess County,98218
Edmonson County,12062
Elliott County,7637
Estill County,14488
Fayette County,308428
Fleming County,14508
Floyd County,38728
Franklin County,49648
Fulton County,6385
Gallatin County,8474
Garrard County,16915
Grant County,24753
Graves County,37451
Grayson County,25997
Green County,11180
Greenup County,36519
Hancock County,8687
Hardin County,108191
Harlan County,28499
Harrison County,18518
Hart County,18573
Henderson County,46347
Henry County,15445
Hickman County,4745
Hopkins County,46634
Jackson County,13427
Jefferson County,756832
Jessamine County,50173
Johnson County,23449
Kenton County,163145
Knott County,15976
Knox County,31790
LaRue County,14064
Laurel County,59563
Lawrence County,15856
Lee County,7260
Leslie County,11019
Letcher County,23619
Lewis County,13806
Lincoln County,24370
Livingston County,9359
Logan County,26876
Lyon County,8451
McCracken County,65373
McCreary County,17989
McLean County,9496
Madison County,85590
Magoffin County,12950
Marion County,20045
Marshall County,31107
Martin County,12647
Mason County,17278
Meade County,29210
Menifee County,6288
Mercer County,21349
Metcalfe County,9983
Monroe County,10681
Montgomery County,27251
Morgan County,13380
Muhlenberg County,31179
Nelson County,44540
Nicholas County,7039
Ohio County,23988
Oldham County,62364
Owen County,10662
Owsley County,4654
Pendleton County,14570
Perry County,28010
Pike County,63380
Powell County,12494
Pulaski County,63907
Robertson County,2235
Rockcastle County,16693
Rowan County,23527
Russell County,17752
Scott County,49947
Shelby County,44216
Simpson County,17793
Spencer County,17637
Taylor County,24649
Todd County,12503
Trigg County,14293
Trimble County,8816
Union County,15029
Warren County,118370
Washington County,11875
Wayne County,20678
Webster County,13452
Whitley County,35766
Wolfe County,7248
Woodford County,25275
